mask_name,medial_lowest_x,medial_lowest_y,medial_lowest_z,lateral_lowest_x,lateral_lowest_y,lateral_lowest_z
Original,139.06264877319336,35.63487184047699,-736.5,155.57632744312286,37.37315380573273,-736.5
2mm_Expanded,111.25013732910156,-30.419842839241028,-484.5,130.37123894691467,-28.68156087398529,-484.5
4mm_Expanded,109.51185536384583,-32.158124804496765,-480.5,131.24037992954254,-31.288983821868896,-480.5
Randomized_1,103.42786848545074,-40.84953463077545,-636.5,123.41811108589172,-39.111252665519714,-636.5
Randomized_2,102.55872750282288,-24.335855960845947,-634.5,123.41811108589172,-25.204996943473816,-634.5
